Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
16,4,NA,0.5,ISLIP,3.70673,1.21935,0.50045,NA
17,4,NA,0.5,ISLIP,3.71302,1.24259,0.500388,NA
18,4,NA,0.5,ISLIP,3.70439,1.23512,0.497978,NA
19,4,NA,0.5,ISLIP,3.71216,1.24948,0.499142,NA
20,4,NA,0.5,ISLIP,3.73162,1.27193,0.4999,NA
21,4,NA,0.5,ISLIP,3.72358,1.25819,0.500567,NA
22,4,NA,0.5,ISLIP,3.72137,1.25519,0.50045,NA
23,4,NA,0.5,ISLIP,3.72962,1.26984,0.500017,NA
24,4,NA,0.5,ISLIP,3.73073,1.27566,0.500108,NA
25,4,NA,0.5,ISLIP,3.72325,1.25802,0.49758,NA
26,4,NA,0.5,ISLIP,3.73919,1.27551,0.500127,NA
27,4,NA,0.5,ISLIP,3.74,1.28244,0.500541,NA
28,4,NA,0.5,ISLIP,3.73797,1.28152,0.499664,NA
29,4,NA,0.5,ISLIP,3.74866,1.31208,0.501845,NA
30,4,NA,0.5,ISLIP,3.73765,1.28682,0.499903,NA
31,4,NA,0.5,ISLIP,3.74042,1.28383,0.499613,NA
32,4,NA,0.5,ISLIP,3.74161,1.28324,0.500122,NA
33,4,NA,0.5,ISLIP,3.74342,1.28828,0.501321,NA
34,4,NA,0.5,ISLIP,3.73852,1.29307,0.497997,NA
35,4,NA,0.5,ISLIP,3.75126,1.31462,0.502446,NA
36,4,NA,0.5,ISLIP,3.74268,1.29795,0.499731,NA
37,4,NA,0.5,ISLIP,3.73519,1.28797,0.499095,NA
38,4,NA,0.5,ISLIP,3.74277,1.30187,0.500437,NA
39,4,NA,0.5,ISLIP,3.73678,1.28186,0.500026,NA
40,4,NA,0.5,ISLIP,3.73739,1.28506,0.500888,NA
41,4,NA,0.5,ISLIP,3.7378,1.29758,0.499612,NA
42,4,NA,0.5,ISLIP,3.73878,1.29571,0.499902,NA
43,4,NA,0.5,ISLIP,3.75269,1.31063,0.500205,NA
44,4,NA,0.5,ISLIP,3.75209,1.30142,0.500536,NA
45,4,NA,0.5,ISLIP,3.74589,1.29863,0.500416,NA
46,4,NA,0.5,ISLIP,3.74673,1.30266,0.500507,NA
47,4,NA,0.5,ISLIP,3.75243,1.31368,0.500177,NA
48,4,NA,0.5,ISLIP,3.74774,1.29505,0.499583,NA
49,4,NA,0.5,ISLIP,3.75217,1.3081,0.500094,NA
50,4,NA,0.5,ISLIP,3.74242,1.29788,0.499078,NA
